name,whg_id,whg_name,lng,lat,source,notes
Alcudia,,Morocco (Atlantic coast — approximate),-6.15,35.19,manual,"APPROXIMATE. Source region tag is Marocco but the row carries no ISO code, so WHG fuzzy-matched l'Alcúdia near Valencia, Spain (place:osm:n1243398548) — wrong country. No 14th–15th c. Moroccan port named ""Alcudia"" could be confirmed (modern ""Alcudia Smir"" near Fnideq is a recent resort development, not a historical place). Pinned to a representative northern-Moroccan Atlantic coast point near the other Moroccan ports (Arzilla ~35.47/-6.03, Azemmour ~33.29/-8.34); revise if the true port is identified."
Altoluogo,,Ayasoluk / Selçuk (medieval port of Ephesus),27.3676,37.9495,manual,"Medieval Italian Altoluogo (altum locum) = Ayasoluk/Selçuk, the silted-up successor port adjacent to ancient Ephesus. WHG match was Tavuklu (eastern Turkey) which is unrelated."
Amone,place:tgn:7007953,Mahón,4.25,39.883333,auto-exonym,variation: Mahón
Barberia,,Barbary Coast (Tunis as representative point),10.1815,36.8065,manual,Source PDF country tail is Tunisia. Tunis is the canonical Barbary port for that country tag; the earlier interior Algeria/Sahara override was wrong.
Berre-l'Étang,place:gn:3033241,Berre-l'Étang,5.17044,43.47809,auto-exonym,variation: Berre-l'Étang
Bonifacio,,"Bonifacio, Corsica",9.1576,41.3873,manual,WHG has no Corsican Bonifacio (only Philippines homonyms). Coordinates from Wikipedia.
Canet-en Roussillon,place:tm:21222,Canet-en-Roussillon,3.009898,42.706091,auto-exonym,variation: Canet-en-Roussillon
Cherchel,place:gn:2501440,Cherchell,2.19083,36.605,auto-exonym,variation: Cherchell
Cipro,place:ohm:r2800989,Cyprus (Nicosia as central reference),33.3823,35.1856,manual,"WHG fuzzy-matched Cipro to Skripovo, Pskov Oblast (Russia) — the source PDF cell ""Cipro-Grecia o Turchia"" has no usable ISO so no country filter blocks the homonym. WHG does index Cyprus as place:ohm:r2800989 but with no centroid. Using Nicosia. Famagosta is a separate gazetteer entry for east-coast Cyprus voyages."
Costa di Catalogna,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Costiera di Barcellona,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Costiera di Catalogna,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Galizia,,Galicia (Atlantic coast reference point),-8.9,42.6,manual,"Region marker. WHG matched the Galicia polygon (place:tgn:7002786) whose centroid falls inland in interior Galicia. Galizia voyages are coastal/Atlantic, so the marker is pinned to a representative point on the Rías Baixas coast rather than the land centroid."
Golfo del Leone,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Golfo di Narbona,place:gn:12319315,Narbonne,6.78562,43.60465,auto-exonym,variation: Narbonne
Hyères;Brégançon,place:gn:12519480,Hyères,5.85746,45.5271,auto-exonym,variation: Hyères
Ibiza,,Ibiza (Eivissa),1.4206,38.9067,manual,"WHG fuzzy-matched a GeoNames record (place:gn:11549939) that resolves to Madrid (40.42°N, -3.67°W). Ibiza is the Balearic island/town in the western Mediterranean; pinned to Eivissa town."
Inghilterra,place:227562,London (representative point for English voyages),-0.1257,51.5085,manual,"WHG matched the England polygon (centroid in central rural England). All 23 voyages tagged Inghilterra would have docked at an English port — London being the canonical destination, and the only separately-listed English port (Londra) gets zero voyages in the source."
Isola S. Margherita,,"Île Sainte-Marguerite, Cannes",7.0508,43.5217,manual,WHG returns the island with Country=IT despite being in FR; manually set to Cannes coords.
Isola di Marsiglia,place:wd:Q1464953,Frioul Islands,5.306647,43.275487,manual,Frioul Islands off Marseille. WHG default match was a Frioul POI in Lyon (osm:n2686481302).
Levante,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Maiorca,place:tgn:7008232,Palma de Mallorca (Balearic Islands),2.65,39.566667,manual,"WHG fuzzy-matched to a small Portuguese town also called Maiorca (40.17°N, -8.75°W) — the result is tagged ""Country: ES, PT"" so the ES country filter accepts it. Pinning to Palma de Mallorca to match the related Palma di Maiorca entry; voyages referring simply to ""Maiorca"" all mean the Balearic island."
Maiorca pressi,place:tgn:7008232,near Palma de Mallorca,2.65,39.566667,manual,"Variation probe matched a Moroccan place spelled similarly (Çokhra Al Mbwirka, near Casablanca). ""Maiorca pressi"" = approaching/near Mallorca; pinning to Palma alongside Maiorca."
Mare del Nord,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
Mari di Bretagna,,,,,auto-skip-sea-area,Sea zone or abstract direction — no point geocoding.
